id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1340776458615226519,Historic room in Art District,271730,1462514347881163939,Nicolas,,Central Business District,29.94455,-90.07047,Private room,83,30,0,,,2,89,0,
1340840757527485926,Spacious & Charming 3 BR Home near French Quarter!,137266442,1463527095672886492,Wavy Stay,,Seventh Ward,29.971750528055363,-90.05935628190673,Entire home/apt,156,31,0,,,1,276,0,
1340895265359748634,The Treme House (1837),134182959,1468339118466838255,Harris,,Treme - Lafitte,29.96771,-90.06695,Entire home/apt,249,30,0,,,4,365,0,"21-CSTR-11203, 22-OSTR-09625"
1341322124595861340,"5 BR, Minutes to French Quarter & Superdome | Pool",349162641,1469694447194015214,David,,Tulane - Gravier,29.95843,-90.08975,Entire home/apt,617,2,62,2026-03-15,4.62,34,299,57,"23-CSTR-09296, 22-OSTR-08383"
1341432895638605479,Peaceful vacation home,397442376,1469829313824821911,Jonnie,,Little Woods,30.04419,-89.9746,Entire home/apt,322,30,1,2025-05-18,0.10,1,365,1,"25-NSTR-12706, 25-OSTR-12692"
1341516793131344049,Stay & Play: New Orleans Apt Near Downtown,456477857,1468139073718329889,Evolve,,Central City,29.9407685,-90.0805025,Entire home/apt,79,30,0,,,36,363,0,
1341634790023596511,Cosy Marigny stay Temp controlled pool&garden view,675029609,1470690095413980318,Carl,,St. Roch,29.971,-90.05122,Entire home/apt,269,1,26,2026-03-15,1.93,1,247,23,"23-NSTR-18329, 25-OSTR-06239"
1341702367118932486,Modern Condo - Close to Downtown & FQ,103441877,1467241948109062777,Dev,,Lower Garden District,29.9425040425767,-90.06991643297854,Entire home/apt,148,2,23,2026-02-28,1.71,6,144,22,"21-CSTR-14678, 23-OSTR-12839"
1342048593019287468,Spacious Family-Friendly 5BR Retreat by French Qtr,136024214,1468354945219171568,"Your Space, LLC",,Florida Area,29.97815,-90.03087,Entire home/apt,495,1,25,2026-01-18,1.85,27,345,20,"25-NSTR-40157, 25-OSTR-31955"
1342107244139210694,Apt on Magazine St. | Walk to Shops & Restaurants,349162641,1469694447194015214,David,,West Riverside,29.91984,-90.10395,Entire home/apt,305,2,55,2026-03-15,4.09,34,307,49,"20-CSTR-26802, 22-OSTR-08383"
1342158472469150966,Easygoing Room for 1,271730,1462514347881163939,Nicolas,,Central Business District,29.94437575891687,-90.07015721773868,Private room,84,30,0,,,2,89,0,
1342167941942313900,Walk to Shops & Restaurants | 3 BR Magazine St Apt,349162641,1469694447194015214,David,,West Riverside,29.92033,-90.10419,Entire home/apt,500,2,48,2026-03-13,3.57,34,321,43,"20-CSTR-26803, 22-OSTR-08383"
1342172494837212018,10 min from anywhere you want to be in New Orleans,675167226,1470690340354535678,Bobby Frances,,Milan,29.9318712,-90.0927895,Entire home/apt,514,3,2,2026-02-16,0.16,1,90,1,23-xstr-01019
1342209215547657915,Villa Nola Spring Sale!,405100338,1463625291227775294,Ruby,,Tulane - Gravier,29.96138,-90.08138,Entire home/apt,186,1,20,2026-02-24,1.49,1,35,16,"24-NSTR-11136, 24-OSTR-11127"
1342225439158085392,Delightful Canal Street Home in Mid-City,342910048,1469675160484185956,LiivUP,,Mid-City,29.97684292555917,-90.10335293862303,Entire home/apt,180,30,5,2025-05-18,0.37,19,299,2,"23-CSTR-01173, 22-OSTR-17719"
1342356164358521679,(Historic Algiers Pointe Getaway),134182959,1468339118466838255,Harris,,Whitney,29.95261,-90.04492,Entire home/apt,1300,30,0,,,4,270,0,"21-CSTR-11207, 22-OSTR-09621"
1342365089841456483,Historic Algiers Pointe Getaway,134182959,1468339118466838255,Harris,,Whitney,29.954652353301732,-90.04525895236445,Entire home/apt,2212,30,1,2025-02-10,0.07,4,365,0,"21-CSTR-11209, 22-OSTR-09628"
1342732782424055716,"The Herald at CastleDay - Private Pool, Spa",668437824,1470676938799499509,CastleDay,,Bywater,29.966455,-90.02830499999999,Hotel room,748,2,18,2026-02-22,1.38,3,261,16,24-XSTR-24029
